op,case,calc_ms,spot_ms,spot2_ms,nodes,cells,linked,note
align,2state1ap2acc_parity_0025879815×2state1ap2acc_parity_0148915715_c,0.0199,,,13,169,38,cold
align,2state1ap2acc_parity_0027829076×2state1ap2acc_parity_0222330926_c,0.0368,,,30,900,38,cold
align,2state1ap2acc_parity_0027829076×3state1ap0acc_026681,0.0678,,,57,3249,93,cold
align,2state1ap2acc_parity_0028715040_c×3state1ap0acc_092232_c,0.0697,,,66,4356,126,cold
align,2state1ap2acc_parity_0039146888_c×3state1ap0acc_007452,0.1181,,,125,15625,257,cold
align,2state1ap2acc_parity_0039146888×3state1ap0acc_005678,0.09,,,98,9604,104,cold
align,2state1ap2acc_parity_0041993040_c×2state1ap2acc_parity_1413805336_c,0.0284,,,20,400,45,cold
align,2state1ap2acc_parity_0041993040_c×3state1ap0acc_013908_c,0.0915,,,92,8464,280,cold
align,2state1ap2acc_parity_0041993040×3state1ap0acc_075918_c,0.0696,,,69,4761,180,cold
align,2state1ap2acc_parity_0042106965_c×3state1ap0acc_021936_c,0.1925,,,199,39601,369,cold
align,2state1ap2acc_parity_0042106965×3state1ap0acc_007820_c,0.1918,,,197,38809,188,cold
align,2state1ap2acc_parity_0042324737×3state1ap0acc_072710,0.0932,,,95,9025,448,cold
align,2state1ap2acc_parity_0043917312_c×3state1ap0acc_031241_c,0.0665,,,67,4489,172,cold
align,2state1ap2acc_parity_0043917312_c×3state1ap0acc_073990,0.0382,,,28,784,53,cold
align,2state1ap2acc_parity_0043917312×3state1ap0acc_061698_c,0.0303,,,24,576,52,cold
align,2state1ap2acc_parity_0047726660×3state1ap0acc_070796,0.241,,,235,55225,545,cold
align,2state1ap2acc_parity_0067828500×3state1ap0acc_024944_c,0.2292,,,245,60025,479,cold
align,2state1ap2acc_parity_0067828500×3state1ap0acc_076316_c,0.1342,,,142,20164,295,cold
align,2state1ap2acc_parity_0067928106_c×3state1ap0acc_025826,0.0363,,,32,1024,81,cold
align,2state1ap2acc_parity_0069045002_c×3state1ap0acc_025689,0.0246,,,20,400,53,cold
align,2state1ap2acc_parity_0071469096_c×3state1ap0acc_004236_c,0.0409,,,33,1089,75,cold
align,2state1ap2acc_parity_0071469096_c×3state1ap0acc_076317,0.0615,,,64,4096,159,cold
align,2state1ap2acc_parity_0072712844×3state1ap0acc_006310_c,0.0235,,,18,324,46,cold
align,2state1ap2acc_parity_0075547220_c×3state1ap0acc_025240_c,0.0785,,,80,6400,141,cold
align,2state1ap2acc_parity_0082086912_c×3state1ap0acc_008292,0.0359,,,31,961,55,cold
align,2state1ap2acc_parity_0082224640×3state1ap0acc_031241,0.0579,,,55,3025,141,cold
align,2state1ap2acc_parity_0085983912_c×3state1ap0acc_073996_c,0.0265,,,21,441,39,cold
align,2state1ap2acc_parity_0085993472×3state1ap0acc_069804,0.0497,,,42,1764,44,cold
align,2state1ap2acc_parity_0086686273_c×2state1ap2acc_parity_1164845312,0.0281,,,18,324,34,cold
align,2state1ap2acc_parity_0086745169×2state1ap2acc_parity_0148980997,0.0399,,,31,961,64,cold
align,2state1ap2acc_parity_0086745169×2state1ap2acc_parity_0302062762_c,0.0177,,,9,81,19,cold
align,2state1ap2acc_parity_0086745169×3state1ap0acc_007450_c,0.0573,,,53,2809,124,cold
align,2state1ap2acc_parity_0089313800×3state1ap0acc_024658,0.0635,,,62,3844,62,cold
align,2state1ap2acc_parity_0092292688_c×3state1ap0acc_071946,0.0447,,,39,1521,70,cold
align,2state1ap2acc_parity_0092292688×3state1ap0acc_093192_c,0.2328,,,249,62001,258,cold
align,2state1ap2acc_parity_0092868865_c×3state1ap0acc_030984,0.1288,,,133,17689,238,cold
align,2state1ap2acc_parity_0092868865×3state1ap0acc_075797_c,0.0464,,,39,1521,72,cold
align,2state1ap2acc_parity_0094315016×3state1ap0acc_025905_c,0.0519,,,46,2116,162,cold
align,2state1ap2acc_parity_0095627264_c×3state1ap0acc_031256,0.0813,,,79,6241,255,cold
align,2state1ap2acc_parity_0098403592_c×3state1ap0acc_073800,0.0315,,,22,484,35,cold
align,2state1ap2acc_parity_0099450882×3state1ap0acc_096456_c,0.0517,,,47,2209,170,cold
align,2state1ap2acc_parity_0138479656×2state1ap2acc_parity_0538182656,0.0296,,,17,289,32,cold
align,2state1ap2acc_parity_0138479656×2state1ap2acc_parity_0684213249,0.0341,,,25,625,64,cold
align,2state1ap2acc_parity_0138730120_c×3state1ap0acc_079492,0.144,,,153,23409,241,cold
align,2state1ap2acc_parity_0138758442×3state1ap0acc_031249_c,0.0489,,,46,2116,57,cold
align,2state1ap2acc_parity_0144393216_c×3state1ap0acc_030733_c,0.0347,,,30,900,47,cold
align,2state1ap2acc_parity_0144393216×3state1ap0acc_029325,0.0337,,,24,576,48,cold
