input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,check_s,source
1state3ap1acc_00980.hoa,LTL,sos2ltl+sos2ltl.engine,0.091,G((a | (!b & c) | (b & !c)) & F((a & !b) | (a & c) | (!b & c))),14,2,25,1.8,577e4751eaf6,TRUE,0.047,genaut/corpus/flat_canon/det/1state3ap1acc_00980.hoa
1state3ap1acc_00980_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.094,(!a & ((!b & !c) | (b & c))) | ((a | (!b & c) | (b & !c)) & X(F((!a & !b & !c) |…,29,4,68,2.3,d2ca0285575f,TRUE,0.048,genaut/corpus/flat_canon/det/1state3ap1acc_00980_c.hoa
1state3ap1acc_00984.hoa,LTL,sos2ltl+sos2ltl.engine,0.091,G(((!b & !c) | (!a & c) | (a & !c) | (b & c)) & F((a & b) | (!b & !c))),16,2,29,1.8,4a55154baa8e,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_00984.hoa
1state3ap1acc_00984_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.095,(!a & b & !c) | (a & !b & c) | (((!b & !c) | (!a & c) | (a & !c) | (b & c)) & X(…,26,4,75,2.9,5cc0f8c63625,TRUE,0.050,genaut/corpus/flat_canon/det/1state3ap1acc_00984_c.hoa
1state3ap1acc_00988.hoa,LTL,sos2ltl+sos2ltl.engine,0.094,G((a | !b | c) & F(a | (!b & !c))),11,2,15,1.4,3b580695641a,TRUE,0.045,genaut/corpus/flat_canon/det/1state3ap1acc_00988.hoa
1state3ap1acc_00988_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.093,(!a & b & !c) | ((a | !b | c) & X(F(!a & b & !c) | (G(a | !b | c) & FG(!a & (b |…,19,4,37,1.9,7bf0d989e4e9,TRUE,0.045,genaut/corpus/flat_canon/det/1state3ap1acc_00988_c.hoa
1state3ap1acc_01020.hoa,LTL,sos2ltl+sos2ltl.engine,0.087,GF(b | !c),6,2,6,1.0,edcd0873aad4,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_01020.hoa
1state3ap1acc_01020_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.084,FG(!b & c),6,2,6,1.0,30e3c9151052,TRUE,0.045,genaut/corpus/flat_canon/det/1state3ap1acc_01020_c.hoa
1state3ap1acc_01537.hoa,LTL,sos2ltl+sos2ltl.engine,0.090,G(((!a & b) | (!a & !c)) & F(!a & b & !c)),12,2,19,1.6,a95caaa9f0fd,TRUE,0.045,genaut/corpus/flat_canon/det/1state3ap1acc_01537.hoa
1state3ap1acc_01537_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.091,a | (!b & c) | ((b | !c) & X(F(a | (!b & c)) | (G((!a & b) | (!a & !c)) & FG(a |…,22,4,39,1.8,e21268474856,TRUE,0.047,genaut/corpus/flat_canon/det/1state3ap1acc_01537_c.hoa
1state3ap1acc_01545.hoa,LTL,sos2ltl+sos2ltl.engine,0.088,G(!c & F((!a & !b & !c) | (a & b & !c))),12,2,18,1.5,e0e1f583589d,TRUE,0.045,genaut/corpus/flat_canon/det/1state3ap1acc_01545.hoa
1state3ap1acc_01545_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.091,Fc | X(G!c & FG((a | b | c) & (!a | !b | c))),16,4,21,1.3,3d05cda9bf8c,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_01545_c.hoa
1state3ap1acc_01552.hoa,LTL,sos2ltl+sos2ltl.engine,0.089,G(((!a & !b & c) | (a & b & c) | (!a & b & !c)) & F(!a & b & !c)),13,2,26,2.0,87d77a47f6ee,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_01552.hoa
1state3ap1acc_01552_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.091,(!a & b & c) | (!b & !c) | (a & (!b | !c)) | (((!a & !b & c) | (a & b & c) | (!a…,27,4,84,3.1,d44097774a27,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_01552_c.hoa
1state3ap1acc_01553.hoa,LTL,sos2ltl+sos2ltl.engine,0.088,G(((b & !c) | (!a & b) | (!a & !c)) & F(b & !c)),12,2,21,1.8,f2581eb3cc1c,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_01553.hoa
1state3ap1acc_01553_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.091,(!b & c) | (a & (!b | c)) | (((b & !c) | (!a & b) | (!a & !c)) & X(F((a & !b) | …,25,4,63,2.5,fc9448c15571,TRUE,0.047,genaut/corpus/flat_canon/det/1state3ap1acc_01553_c.hoa
1state3ap1acc_01560.hoa,LTL,sos2ltl+sos2ltl.engine,0.088,G(((!a & !b & c) | (a & b) | (b & !c)) & F((!a & !b & c) | (a & b & !c))),15,2,29,1.9,2834cbde395e,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_01560.hoa
1state3ap1acc_01560_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.095,(!a & b & c) | (!b & (a | !c)) | (((!a & !b & c) | (a & b) | (b & !c)) & X(F((!a…,28,4,76,2.7,e647205f56a5,TRUE,0.045,genaut/corpus/flat_canon/det/1state3ap1acc_01560_c.hoa
