pop,neg_phi,k,bits,safety,cosafety,obligation,recurrence,persistence,brute,ms,note
fwd,2state2ap2acc_parity_05207513304957954670,3state2ap2acc_parity_02225287432583565045627619612700794790776537_c,52,0,1,1,1,1,skip-bits,12.5,
fwd,2state2ap2acc_parity_05522610772710766970_c,2state2ap2acc_parity_17362277832879126548,55,0,0,0,0,0,skip-bits,53.4,
fwd,2state2ap2acc_parity_05983266170514214042,3state2ap2acc_parity_12403977564925508453551236462067085934910282_c,28,1,1,1,1,1,skip-bits,3.8,
fwd,2state2ap2acc_parity_06360534675873411890_c,2state2ap1acc_parity_4042692746,12,0,0,0,0,0,ok,188.2,
fwd,2state2ap2acc_parity_06706656653999847593_c,2state2ap2acc_parity_05770070685202830714,66,0,0,0,0,0,skip-bits,128.2,
fwd,2state2ap2acc_parity_06706656653999847593_c,3state2ap2acc_parity_06313475381795330209467421463533420155064625_c,124,0,0,0,1,0,skip-bits,811.3,
fwd,2state2ap2acc_parity_07285067545879021657_c,2state2ap2acc_parity_04906201296742293504,189,0,0,0,0,0,skip-bits,428.7,
fwd,2state2ap2acc_parity_08130995486210534005,2state2ap2acc_parity_02324350295120187772_c,211,0,0,0,0,0,skip-bits,362.4,
fwd,2state2ap2acc_parity_08509043498043523396_c,4state2ap1acc_parity_216913534712549064574886800825391398934_c,26,1,1,1,1,1,skip-bits,4.8,
fwd,2state2ap2acc_parity_09303125106357635126_c,1state2ap0acc_01,7,1,1,1,1,1,ok,2.6,
fwd,2state2ap2acc_parity_09340193533924172070,3state2ap2acc_parity_17256777809672929554857622979850165510394022,11,0,0,0,0,0,ok,135.2,
fwd,2state2ap2acc_parity_09669650752595937080,2state2ap2acc_parity_00495951104014606457_c,22,0,0,0,1,0,skip-bits,6.8,
fwd,2state2ap2acc_parity_10439520783294077228,3state2ap2acc_parity_19513157098239232108232341494837416149158789,133,0,0,0,0,0,skip-bits,958.5,
fwd,2state2ap2acc_parity_10956058418304074776_c,3state2ap2acc_parity_11352125598174738554908919375056653404965564,29,1,0,1,1,1,skip-bits,67.3,
fwd,2state2ap2acc_parity_11316808124643219609,3state2ap1acc_parity_3585895366144295765516_c,33,1,1,1,1,1,skip-bits,5.6,
fwd,2state2ap2acc_parity_11740941019044962404,3state2ap1acc_parity_3585895366144295765516,1,0,0,0,0,0,ok,8.4,
fwd,2state2ap2acc_parity_11862219100637939786_c,3state2ap1acc_parity_1967668635396872344074_c,93,0,0,0,0,0,skip-bits,24.9,
fwd,2state2ap2acc_parity_12000547282478703909_c,2state2ap2acc_parity_02406207182630619308,23,0,0,0,0,1,skip-bits,7.4,
fwd,2state2ap2acc_parity_12005792140375715561_c,1state2ap2acc_00416,35,0,0,0,0,0,skip-bits,3.7,
fwd,2state2ap2acc_parity_12726042477177204477,1state2ap1acc_105,15,0,0,0,0,0,skip-bits,2.1,
fwd,2state2ap2acc_parity_12728864607586338936_c,4state2ap1acc_parity_128630394002267607203457118552609683947,8,0,0,0,0,0,ok,24.5,
fwd,2state2ap2acc_parity_15568350751340371263,2state2ap2acc_parity_00082015929639258213_c,111,0,0,0,0,1,skip-bits,132.5,
fwd,2state3ap1acc_parity_00865795744191920295,1state3ap1acc_00494_c,20,0,0,0,0,0,skip-bits,5.2,
fwd,2state3ap1acc_parity_01100260466741905549_c,2state3ap1acc_parity_18211550331080462848,123,0,0,0,0,0,skip-bits,269.2,
fwd,2state3ap1acc_parity_01644858810352803401,2state3ap1acc_parity_08035544545379117594_c,251,0,0,0,0,0,skip-bits,342.1,
fwd,2state3ap1acc_parity_01830543289898687049_c,1state3ap1acc_06147,70,1,1,1,1,1,skip-bits,8.0,
fwd,2state3ap1acc_parity_02398314845859828916,2state3ap1acc_parity_14818256413007078534_c,225,0,0,0,0,0,skip-bits,419.7,
fwd,2state3ap1acc_parity_03229356971305243857_c,2state3ap1acc_parity_12420149321583670028,193,0,0,0,0,1,skip-bits,76.4,
fwd,2state3ap1acc_parity_05265621111752452744,2state3ap1acc_parity_10541487760048391324_c,157,0,0,0,0,0,skip-bits,221.4,
fwd,2state3ap1acc_parity_08801613791090661145_c,1state3ap1acc_00792,55,1,1,1,1,1,skip-bits,5.1,
fwd,2state3ap1acc_parity_10562312272641601060,1state3ap1acc_01777_c,70,0,0,0,0,0,skip-bits,27.2,
fwd,2state3ap1acc_parity_10819738732151771304,1state3ap0acc_023,65,0,0,0,1,0,skip-bits,7.0,
fwd,2state3ap1acc_parity_12248783858467312927_c,1state3ap1acc_06145_c,2,0,1,1,1,1,ok,1.6,
