# date: 2026-07-11
# git-rev: c8f4d3004
# seed: 20260711
# corpus: genaut/corpus/flat_canon/sos
case,n_aps,n_classes,inert_set,sym_generator_hits,anti_generator_hits,anti_possible,sym_full_count,anti_full_count,status,wall_ms
1state3ap1acc_01569_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_01577,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01577_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_01584,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_01584_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_01585,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_01585_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_01592,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_01592_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_01593,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_01593_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_01632,3,4,,t02,,0,4,0,ok,9.1
1state3ap1acc_01632_c,3,4,,t02,,0,4,0,ok,9.5
1state3ap1acc_01633,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01633_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_01641,3,4,,t02,,0,4,0,ok,9.2
1state3ap1acc_01641_c,3,4,,t02,,0,4,0,ok,9.5
1state3ap1acc_01648,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01648_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_01649,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01649_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_01656,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01656_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_01657,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01657_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_01680,3,4,,t02,,0,4,0,ok,9.1
1state3ap1acc_01680_c,3,4,,t02,,0,4,0,ok,9.5
1state3ap1acc_01681,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01681_c,3,4,,,,0,2,0,ok,9.6
1state3ap1acc_01689,3,4,,t02,,0,4,0,ok,9.1
1state3ap1acc_01689_c,3,4,,t02,,0,4,0,ok,9.5
1state3ap1acc_01712,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01712_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_01713,3,4,,,,0,1,0,ok,9.2
1state3ap1acc_01713_c,3,4,,,,0,1,0,ok,9.7
1state3ap1acc_01721,3,4,,t02,,0,2,0,ok,9.2
1state3ap1acc_01721_c,3,4,,t02,,0,2,0,ok,9.6
1state3ap1acc_01776,3,4,,t01,,0,4,0,ok,9.1
1state3ap1acc_01776_c,3,4,,t01,,0,4,0,ok,9.6
1state3ap1acc_01777,3,4,,,,0,2,0,ok,9.2
1state3ap1acc_01777_c,3,4,,,,0,2,0,ok,9.6
1state3ap1acc_01785,3,3,,t01,,0,4,0,ok,7.8
1state3ap1acc_01785_c,3,3,,t01,,0,4,0,ok,7.9
1state3ap1acc_01800,3,4,,,,0,2,0,ok,9.2
1state3ap1acc_01800_c,3,4,,,,0,2,0,ok,9.6
1state3ap1acc_01808,3,4,,,,0,2,0,ok,9.2
1state3ap1acc_01808_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_01816,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01816_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_01824,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_01824_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_01832,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_01832_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_01840,3,4,,,,0,1,0,ok,9.2
1state3ap1acc_01840_c,3,4,,,,0,1,0,ok,9.6
1state3ap1acc_01848,3,4,,,,0,1,0,ok,9.2
1state3ap1acc_01848_c,3,4,,,,0,1,0,ok,9.6
1state3ap1acc_01888,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01888_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_01896,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01896_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_01904,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01904_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_01912,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01912_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_01920,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01920_c,3,4,,,,0,2,0,ok,9.6
1state3ap1acc_01928,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_01928_c,3,4,,,,0,2,0,ok,9.5
