input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,source
GX(0),LTL,daisy,0.073,0,1,0,1,1.0,256b0f7a8d39,TRUE,samples/kinska/randltl/4ap-formulae/randltl-10-a.txt:9
b -> a,LTL,daisy,0.074,a | !b,4,0,4,1.0,f1a6bbfad7c8,TRUE,samples/kinska/randltl/4ap-formulae/randltl-10-a.txt:10
randltl-10-a-hoa-1.txt,LTL,daisy,0.073,g,1,0,1,1.0,bffe89fde577,TRUE,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-1.txt
randltl-10-a-hoa-10.txt,LTL,daisy+strength2,0.075,c W d,3,1,3,1.0,4afae9288bd0,TRUE,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-10.txt
randltl-10-a-hoa-2.txt,LTL,daisy+strength2,0.075,d R e,3,1,3,1.0,54dd0197887b,TRUE,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-2.txt
randltl-10-a-hoa-3.txt,LTL,daisy,0.074,!h,2,0,2,1.0,2c0b951079eb,TRUE,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-3.txt
randltl-10-a-hoa-4.txt,LTL,daisy,0.073,XFg,3,1,3,1.0,b49734c707c1,TRUE,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-4.txt
randltl-10-a-hoa-5.txt,LTL,daisy,0.075,h M e,3,1,3,1.0,b653902c0324,TRUE,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-5.txt
randltl-10-a-hoa-6.txt,LTL,daisy,0.070,a,1,0,1,1.0,883cb92c9ed3,TRUE,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-6.txt
randltl-10-a-hoa-7.txt,LTL,daisy,0.071,b,1,0,1,1.0,98f9c15e60dd,TRUE,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-7.txt
randltl-10-a-hoa-8.txt,LTL,daisy,0.073,a M g,3,1,3,1.0,883704efbb3c,TRUE,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-8.txt
randltl-10-a-hoa-9.txt,LTL,daisy+strength2,0.074,h W b,3,1,3,1.0,686d3b4267ad,TRUE,samples/kinska/randltl/8ap-ba/randltl-10-a-hoa-9.txt
g,LTL,daisy,0.071,g,1,0,1,1.0,bffe89fde577,TRUE,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:1
d R e,LTL,daisy+strength2,0.074,d R e,3,1,3,1.0,54dd0197887b,TRUE,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:2
!h,LTL,daisy,0.071,!h,2,0,2,1.0,2c0b951079eb,TRUE,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:3
XFg,LTL,daisy,0.075,XFg,3,1,3,1.0,b49734c707c1,TRUE,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:4
h M e,LTL,daisy,0.073,h M e,3,1,3,1.0,b653902c0324,TRUE,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:5
a,LTL,daisy,0.072,a,1,0,1,1.0,883cb92c9ed3,TRUE,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:6
b,LTL,daisy,0.073,b,1,0,1,1.0,98f9c15e60dd,TRUE,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:7
a M g,LTL,daisy,0.072,a M g,3,1,3,1.0,883704efbb3c,TRUE,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:8
h W b,LTL,daisy+strength2,0.073,h W b,3,1,3,1.0,686d3b4267ad,TRUE,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:9
c W d,LTL,daisy+strength2,0.073,c W d,3,1,3,1.0,4afae9288bd0,TRUE,samples/kinska/randltl/8ap-formulae/randltl-10-a.txt:10
