case,kind,size,MQ,EQ
1state3ap1acc_00510,syntactic,3,26,1
1state3ap1acc_00510_c,syntactic,4,62,2
1state3ap1acc_00772,syntactic,6,48,2
1state3ap1acc_00772_c,syntactic,8,176,4
1state3ap1acc_00780,syntactic,6,38,2
1state3ap1acc_00780_c,syntactic,8,96,4
1state3ap1acc_06181,periodic,5,49,2
1state3ap1acc_06181_c,periodic,7,107,3
1state3ap1acc_06183,periodic,5,56,2
1state3ap1acc_06183_c,periodic,7,107,3
1state3ap1acc_00788,syntactic,6,58,2
1state3ap1acc_00788_c,syntactic,8,176,4
1state3ap1acc_00792,syntactic,6,58,2
1state3ap1acc_00792_c,syntactic,8,176,4
1state3ap1acc_00796,syntactic,6,68,2
1state3ap1acc_00796_c,syntactic,8,176,4
1state3ap1acc_00828,syntactic,6,48,2
1state3ap1acc_00828_c,syntactic,8,96,4
1state3ap1acc_00832,syntactic,6,48,2
1state3ap1acc_00832_c,syntactic,8,176,4
1state3ap1acc_00836,syntactic,6,58,2
1state3ap1acc_00836_c,syntactic,8,176,4
1state3ap1acc_00840,syntactic,6,58,2
1state3ap1acc_00840_c,syntactic,8,176,4
1state3ap1acc_00844,syntactic,6,68,2
1state3ap1acc_00844_c,syntactic,8,176,4
1state3ap1acc_00852,syntactic,6,68,2
1state3ap1acc_00852_c,syntactic,8,176,4
1state3ap1acc_00856,syntactic,6,68,2
1state3ap1acc_00856_c,syntactic,8,176,4
1state3ap1acc_00860,syntactic,6,78,2
1state3ap1acc_00860_c,syntactic,8,176,4
1state3ap1acc_00872,syntactic,6,68,2
1state3ap1acc_00872_c,syntactic,8,176,4
1state3ap1acc_00876,syntactic,6,78,2
1state3ap1acc_00876_c,syntactic,8,176,4
1state3ap1acc_00892,syntactic,6,88,2
1state3ap1acc_00892_c,syntactic,8,176,4
1state3ap1acc_00960,syntactic,6,38,2
1state3ap1acc_00960_c,syntactic,8,96,4
1state3ap1acc_00964,syntactic,6,68,2
1state3ap1acc_00964_c,syntactic,8,176,4
1state3ap1acc_00972,syntactic,6,48,2
1state3ap1acc_00972_c,syntactic,8,96,4
1state3ap1acc_00980,syntactic,6,78,2
1state3ap1acc_00980_c,syntactic,8,176,4
1state3ap1acc_00984,syntactic,6,78,2
1state3ap1acc_00984_c,syntactic,8,176,4
1state3ap1acc_00988,syntactic,6,88,2
1state3ap1acc_00988_c,syntactic,8,176,4
1state3ap1acc_06241,periodic,5,49,2
