case_id,config_id,seed,ap_count,ref_classes,learned_classes,n_member_total,n_member_fill,n_member_harvest,n_member_saturation,n_member_pcache,n_equiv,n_splits,n_columns_lin,n_columns_om,n_saturation_checks,n_saturation_escalations,n_classes_initial,stall_class,n_guard_firings,guard_fired_final,cex_policy,max_cex_stem,max_cex_loop,max_query_word_len,eq_certification,export_associative,fixpoint_congruent,wall_seconds,verdict,detail
1state2ap2acc_parity_01537_c,default,0,2,4,4,29,25,2,0,2,2,2,1,1,3,0,2,,-1,-1,minimal,1,1,2,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_01545,default,0,2,3,3,13,12,1,0,0,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_01800,default,0,2,3,3,14,12,1,0,1,1,1,0,1,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_04612,default,0,2,5,5,51,47,1,0,3,1,3,1,2,4,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_04612_c,default,0,2,5,5,51,47,1,0,3,1,3,1,2,4,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_04616,default,0,2,5,5,51,47,1,0,3,1,3,1,2,4,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_04616_c,default,0,2,5,5,51,47,1,0,3,1,3,1,2,4,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_04620,default,0,2,4,4,29,26,1,0,2,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_04620_c,default,0,2,4,4,29,26,1,0,2,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_05640,default,0,2,4,4,29,26,1,0,2,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_05640_c,default,0,2,4,4,29,26,1,0,2,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_06146,default,0,2,5,5,52,47,2,0,3,1,3,1,2,4,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_06146_c,default,0,2,5,5,52,47,2,0,3,1,3,1,2,4,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_06150,default,0,2,4,4,28,26,1,0,1,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_06150_c,default,0,2,4,4,28,26,1,0,1,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_06660,default,0,2,4,4,28,26,1,0,1,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_06660_c,default,0,2,4,4,28,26,1,0,1,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_13320,default,0,2,4,4,28,26,1,0,1,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_13320_c,default,0,2,4,4,28,26,1,0,1,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_24840,default,0,2,4,4,30,26,1,0,3,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_parity_24840_c,default,0,2,4,4,30,26,1,0,3,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap3acc_parity_0178405888,default,0,2,5,5,52,47,2,0,3,1,3,1,2,4,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap3acc_parity_0178405888_c,default,0,2,5,5,52,47,2,0,3,1,3,1,2,4,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap3acc_parity_0427841672,default,0,2,5,5,52,47,2,0,3,1,3,1,2,4,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap3acc_parity_0427841672_c,default,0,2,5,5,52,47,2,0,3,1,3,1,2,4,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap3acc_parity_2750423057,default,0,2,5,5,52,48,1,0,3,1,3,0,3,4,2,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap3acc_parity_2792358400,default,0,2,5,5,52,48,1,0,3,1,3,0,3,4,2,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap3acc_parity_3796408320,default,0,2,5,5,49,43,3,0,3,2,3,0,3,4,1,2,,-1,-1,minimal,0,2,3,exact,true,true,0.001,SOUND,
1state3ap0acc_001,default,0,3,3,3,29,28,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_001_c,default,0,3,3,3,29,28,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_003,default,0,2,3,3,13,12,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
1state3ap0acc_003_c,default,0,2,3,3,13,12,1,0,0,1,1,1,0,2,0,2,,-1,-1,minimal,0,0,2,exact,true,true,0.001,SOUND,
