input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,check_s,source
2state1ap1acc_01633.hoa,LTL,oracle,0.591,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01633.hoa
2state1ap1acc_01641.hoa,LTL,oracle,0.593,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01641.hoa
2state1ap1acc_01648.hoa,LTL,oracle,0.593,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01648.hoa
2state1ap1acc_01649.hoa,LTL,oracle,0.588,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01649.hoa
2state1ap1acc_01650.hoa,LTL,oracle,0.591,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01650.hoa
2state1ap1acc_01664.hoa,NOT_LTL,oracle,0.590,p=2 u=[a; a] v=[a] x=[!a; cycle{a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01664.hoa
2state1ap1acc_01665.hoa,LTL,oracle,0.586,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01665.hoa
2state1ap1acc_01666.hoa,LTL,oracle,0.579,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01666.hoa
2state1ap1acc_01668.hoa,LTL,oracle,0.587,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01668.hoa
2state1ap1acc_01672.hoa,LTL,oracle,0.589,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01672.hoa
2state1ap1acc_01673.hoa,LTL,oracle,0.588,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01673.hoa
2state1ap1acc_01676.hoa,LTL,oracle,0.595,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01676.hoa
2state1ap1acc_01680.hoa,NOT_LTL,oracle,0.590,p=2 u=[!a; !a] v=[!a] x=[cycle{a; !a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01680.hoa
2state1ap1acc_01681.hoa,NOT_LTL,oracle,0.591,p=2 u=[a; a] v=[a] x=[cycle{a; !a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01681.hoa
2state1ap1acc_01682.hoa,LTL,oracle,0.593,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01682.hoa
2state1ap1acc_01684.hoa,NOT_LTL,oracle,0.590,p=2 u=[a; a] v=[a] x=[cycle{a; !a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01684.hoa
2state1ap1acc_01688.hoa,LTL,oracle,0.596,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01688.hoa
2state1ap1acc_01689.hoa,LTL,oracle,0.589,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01689.hoa
2state1ap1acc_01692.hoa,LTL,oracle,0.591,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01692.hoa
2state1ap1acc_01728.hoa,NOT_LTL,oracle,0.594,p=2 u=[!a] v=[!a] x=[cycle{!a; a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01728.hoa
2state1ap1acc_01729.hoa,NOT_LTL,oracle,0.598,p=2 u=[a; a] v=[a] x=[cycle{a; !a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01729.hoa
2state1ap1acc_01732.hoa,NOT_LTL,oracle,0.588,p=2 u=[a; a] v=[a] x=[cycle{a; !a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01732.hoa
2state1ap1acc_01736.hoa,LTL,oracle,0.591,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01736.hoa
2state1ap1acc_01737.hoa,LTL,oracle,0.587,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01737.hoa
2state1ap1acc_01740.hoa,LTL,oracle,0.588,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01740.hoa
2state1ap1acc_01856.hoa,NOT_LTL,oracle,0.589,p=2 u=[!a] v=[!a] x=[!a; a; cycle{!a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01856.hoa
2state1ap1acc_01857.hoa,LTL,oracle,0.588,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01857.hoa
2state1ap1acc_01858.hoa,LTL,oracle,0.586,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01858.hoa
2state1ap1acc_01864.hoa,LTL,oracle,0.590,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01864.hoa
2state1ap1acc_01888.hoa,LTL,oracle,0.594,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01888.hoa
2state1ap1acc_01890.hoa,LTL,oracle,0.591,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01890.hoa
2state1ap1acc_01984.hoa,LTL,oracle,0.590,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01984.hoa
2state1ap1acc_01985.hoa,LTL,oracle,0.587,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_01985.hoa
2state1ap1acc_03094.hoa,LTL,oracle,0.589,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_03094.hoa
2state1ap1acc_03137.hoa,LTL,oracle,0.587,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_03137.hoa
2state1ap1acc_03138.hoa,NOT_LTL,oracle,0.592,p=2 u=[] v=[!a] y=[!a; a],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_03138.hoa
2state1ap1acc_03168.hoa,NOT_LTL,oracle,0.589,p=2 u=[!a] v=[!a] x=[cycle{a; !a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_03168.hoa
2state1ap1acc_03169.hoa,LTL,oracle,0.589,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_03169.hoa
2state1ap1acc_03170.hoa,NOT_LTL,oracle,0.590,p=2 u=[!a] v=[!a] x=[cycle{a; !a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_03170.hoa
2state1ap1acc_03172.hoa,LTL,oracle,0.588,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_03172.hoa
2state1ap1acc_03176.hoa,NOT_LTL,oracle,0.591,p=2 u=[!a] v=[!a] x=[cycle{a; !a}],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_03176.hoa
2state1ap1acc_03184.hoa,LTL,oracle,0.589,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_03184.hoa
2state1ap1acc_03265.hoa,NOT_LTL,oracle,0.587,p=2 u=[] v=[a] y=[a; !a],,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_03265.hoa
2state1ap1acc_03354.hoa,LTL,oracle,0.589,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_03354.hoa
2state1ap1acc_03568.hoa,LTL,oracle,0.593,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_03568.hoa
2state1ap1acc_04354.hoa,LTL,oracle,0.594,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_04354.hoa
2state1ap1acc_04358.hoa,LTL,oracle,0.586,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_04358.hoa
2state1ap1acc_04362.hoa,LTL,oracle,0.589,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_04362.hoa
2state1ap1acc_04370.hoa,LTL,oracle,0.590,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_04370.hoa
2state1ap1acc_04374.hoa,LTL,oracle,0.592,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_04374.hoa
2state1ap1acc_04376.hoa,LTL,oracle,0.589,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_04376.hoa
2state1ap1acc_04378.hoa,LTL,oracle,0.591,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_04378.hoa
2state1ap1acc_04380.hoa,LTL,oracle,0.592,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_04380.hoa
2state1ap1acc_04388.hoa,LTL,oracle,0.592,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_04388.hoa
2state1ap1acc_04390.hoa,LTL,oracle,0.591,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_04390.hoa
2state1ap1acc_04392.hoa,LTL,oracle,0.590,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_04392.hoa
2state1ap1acc_04394.hoa,LTL,oracle,0.588,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_04394.hoa
2state1ap1acc_04422.hoa,LTL,oracle,0.593,LTL,,,,,,OFF,,genaut/corpus/2state1ap1acc/2state1ap1acc_04422.hoa
