id,layer,k,nC,R,sigma,aperiodic,status,states,F,toggles,conjugate,genuine,time_s
3state2ap2acc_parity_09049543896507004851437886576016916477206973,12,1,34,4,4,1,BUDGET,1000000,,,,,13.94
3state2ap2acc_parity_09049543896507004851437886576016916477206973_c,5,1,34,4,4,1,BUDGET,1000000,,,,,11.04
3state2ap2acc_parity_09049543896507004851437886576016916477206973_c,10,1,34,4,4,1,BUDGET,1000000,,,,,10.02
3state2ap2acc_parity_09049543896507004851437886576016916477206973_c,11,1,34,4,4,1,BUDGET,1000000,,,,,11.82
3state2ap2acc_parity_09049543896507004851437886576016916477206973_c,12,1,34,4,4,1,BUDGET,1000000,,,,,9.74
3state2ap2acc_parity_09760660111816112449285967211041404560999318,9,1,50,4,4,0,BUDGET,1000000,,,,,7.45
2state2ap2acc_parity_03598501441036968601,7,1,32,3,4,1,BUDGET,1000000,,,,,15.92
3state2ap2acc_parity_02962600147653635554458786091040961270417802,15,1,65,5,4,1,BUDGET,1000000,,,,,12.97
3state2ap2acc_parity_09760660111816112449285967211041404560999318,10,1,50,4,4,0,BUDGET,1000000,,,,,7.48
3state2ap2acc_parity_09760660111816112449285967211041404560999318,11,1,50,4,4,0,BUDGET,1000000,,,,,10.18
3state2ap2acc_parity_09760660111816112449285967211041404560999318,12,1,50,2,4,0,CLEAN,824,,,,,0.00
3state2ap2acc_parity_09760660111816112449285967211041404560999318,13,1,50,4,4,0,BUDGET,1000000,,,,,8.30
3state2ap2acc_parity_09760660111816112449285967211041404560999318_c,9,1,50,4,4,0,BUDGET,1000000,,,,,7.03
3state2ap2acc_parity_09760660111816112449285967211041404560999318_c,10,1,50,4,4,0,BUDGET,1000000,,,,,7.09
3state2ap2acc_parity_09760660111816112449285967211041404560999318_c,11,1,50,4,4,0,BUDGET,1000000,,,,,8.24
3state2ap2acc_parity_09760660111816112449285967211041404560999318_c,12,1,50,2,4,0,CLEAN,824,,,,,0.00
3state2ap2acc_parity_09760660111816112449285967211041404560999318_c,13,1,50,4,4,0,BUDGET,1000000,,,,,8.22
3state2ap2acc_parity_10242932816699746367374054096177816109435269,10,1,36,4,4,1,BUDGET,1000000,,,,,9.81
3state2ap2acc_parity_02962600147653635554458786091040961270417802,16,1,65,5,4,1,BUDGET,1000000,,,,,8.73
2state2ap2acc_parity_03598501441036968601,8,1,32,3,4,1,BUDGET,1000000,,,,,12.20
3state2ap2acc_parity_10242932816699746367374054096177816109435269,11,1,36,4,4,1,BUDGET,1000000,,,,,9.75
3state2ap2acc_parity_10242932816699746367374054096177816109435269,15,1,36,4,4,1,BUDGET,1000000,,,,,8.22
3state2ap2acc_parity_10242932816699746367374054096177816109435269,16,1,36,4,4,1,BUDGET,1000000,,,,,11.61
3state2ap2acc_parity_10242932816699746367374054096177816109435269_c,10,1,36,4,4,1,BUDGET,1000000,,,,,9.97
3state2ap2acc_parity_10242932816699746367374054096177816109435269_c,11,1,36,4,4,1,BUDGET,1000000,,,,,10.22
3state2ap2acc_parity_10242932816699746367374054096177816109435269_c,15,1,36,4,4,1,BUDGET,1000000,,,,,11.32
3state2ap2acc_parity_10242932816699746367374054096177816109435269_c,16,1,36,4,4,1,BUDGET,1000000,,,,,11.36
3state2ap2acc_parity_10310622320608854909415558959226979618530038,8,1,29,3,4,1,CONFLICT,404,4,1,0,1,0.00
3state2ap2acc_parity_10310622320608854909415558959226979618530038,9,1,29,3,4,1,CONFLICT,727,4,1,0,1,0.00
3state2ap2acc_parity_02962600147653635554458786091040961270417802,17,1,65,5,4,1,BUDGET,1000000,,,,,13.13
2state2ap2acc_parity_01477560257961134322_c,4,1,19,3,4,1,BUDGET,1000000,,,,,11.01
3state2ap2acc_parity_10310622320608854909415558959226979618530038,10,1,29,3,4,1,CONFLICT,778,4,1,0,1,0.00
3state2ap2acc_parity_10310622320608854909415558959226979618530038_c,8,1,29,3,4,1,CONFLICT,404,4,1,0,1,0.00
3state2ap2acc_parity_10310622320608854909415558959226979618530038_c,9,1,29,3,4,1,CONFLICT,727,4,1,0,1,0.00
3state2ap2acc_parity_10310622320608854909415558959226979618530038_c,10,1,29,3,4,1,CONFLICT,778,4,1,0,1,0.01
2state2ap2acc_parity_03598501441036968601,10,1,32,3,4,1,BUDGET,1000000,,,,,13.63
2state2ap2acc_parity_03598501441036968601_c,7,1,32,3,4,1,BUDGET,1000000,,,,,15.98
3state2ap2acc_parity_11196651764472471764951575104421032493189434,7,1,52,5,4,1,BUDGET,1000000,,,,,10.85
3state2ap2acc_parity_11196651764472471764951575104421032493189434,8,1,52,5,4,1,BUDGET,1000000,,,,,10.72
3state2ap2acc_parity_11196651764472471764951575104421032493189434,11,1,52,5,4,1,BUDGET,1000000,,,,,10.65
3state2ap2acc_parity_11196651764472471764951575104421032493189434,12,1,52,2,4,1,CLEAN,146,,,,,0.00
