id,layer,k,nC,R,sigma,aperiodic,status,states,F,toggles,conjugate,genuine,time_s
2state2ap2acc_parity_00070780542479492635,9,0,28,3,4,0,CONFLICT,75,3,1,0,1,0.00
3state2ap2acc_parity_11212325830812498350632114338631576633033320,19,0,144,8,4,1,BUDGET,1000000,,,,,6.06
3state2ap2acc_parity_11212325830812498350632114338631576633033320,20,0,144,5,4,1,CLEAN,14790,,,,,0.12
3state2ap2acc_parity_11212325830812498350632114338631576633033320,21,0,144,8,4,1,BUDGET,1000000,,,,,5.97
3state2ap2acc_parity_11212325830812498350632114338631576633033320,23,0,144,8,4,1,BUDGET,1000000,,,,,7.68
3state2ap2acc_parity_11212325830812498350632114338631576633033320,27,0,144,3,4,1,CONFLICT,39,5,1,0,1,0.00
3state2ap2acc_parity_11212325830812498350632114338631576633033320,28,0,144,3,4,1,CONFLICT,36,5,1,0,1,0.00
3state2ap2acc_parity_11212325830812498350632114338631576633033320_c,6,0,144,5,4,1,CLEAN,14790,,,,,0.13
3state2ap2acc_parity_11212325830812498350632114338631576633033320_c,7,0,144,5,4,1,CLEAN,14790,,,,,0.07
3state2ap2acc_parity_11212325830812498350632114338631576633033320_c,8,0,144,8,4,1,BUDGET,1000000,,,,,8.75
3state2ap2acc_parity_11212325830812498350632114338631576633033320_c,12,0,144,5,4,1,CLEAN,14790,,,,,0.07
2state2ap2acc_parity_03598501441036968601_c,10,0,32,3,4,1,CONFLICT,90,3,1,0,1,0.00
3state2ap2acc_parity_11212325830812498350632114338631576633033320_c,13,0,144,8,4,1,BUDGET,1000000,,,,,6.49
3state2ap2acc_parity_11212325830812498350632114338631576633033320_c,15,0,144,5,4,1,CLEAN,14790,,,,,0.07
3state2ap2acc_parity_11212325830812498350632114338631576633033320_c,16,0,144,3,4,1,CONFLICT,31,5,1,0,1,0.00
3state2ap2acc_parity_11212325830812498350632114338631576633033320_c,18,0,144,8,4,1,BUDGET,1000000,,,,,10.09
3state2ap2acc_parity_11212325830812498350632114338631576633033320_c,19,0,144,8,4,1,BUDGET,1000000,,,,,9.40
3state2ap2acc_parity_11212325830812498350632114338631576633033320_c,20,0,144,5,4,1,CLEAN,14790,,,,,0.07
3state2ap2acc_parity_11212325830812498350632114338631576633033320_c,21,0,144,8,4,1,BUDGET,1000000,,,,,5.92
3state2ap2acc_parity_11212325830812498350632114338631576633033320_c,23,0,144,8,4,1,BUDGET,1000000,,,,,9.82
3state2ap2acc_parity_11212325830812498350632114338631576633033320_c,27,0,144,3,4,1,CONFLICT,39,5,1,0,1,0.00
3state2ap2acc_parity_11212325830812498350632114338631576633033320_c,28,0,144,3,4,1,CONFLICT,36,5,1,0,1,0.00
2state2ap2acc_parity_03965744933853960312,6,0,18,3,4,1,CONFLICT,2021,2,1,0,1,0.01
3state2ap2acc_parity_11216132919718599426484354168135068180600985,13,0,58,4,4,1,CONFLICT,115,3,1,0,1,0.00
3state2ap2acc_parity_11216132919718599426484354168135068180600985,15,0,58,4,4,1,CONFLICT,13048,3,1,0,1,0.09
