id,layer,nC,R,sigma,aperiodic,c3_status,result,pass_k,k0,k1,k2,k3,collectedF,max_states,absorption,group,other,other_split,bug,time_s
2state2ap2acc_parity_15026862953082550164,1,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,15,27,0,0,0,0,0,0.01
2state2ap2acc_parity_15026862953082550164,3,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,15,27,0,0,0,0,0,0.01
2state2ap2acc_parity_15026862953082550164,6,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,15,27,0,0,0,0,0,0.01
2state2ap2acc_parity_15026862953082550164,7,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,490,1213,0,0,0,0,0,0.27
2state2ap2acc_parity_15026862953082550164,8,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,490,1213,0,0,0,0,0,0.26
2state2ap2acc_parity_15026862953082550164,9,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,490,1213,0,0,0,0,0,0.26
2state2ap2acc_parity_15026862953082550164_c,1,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,15,27,0,0,0,0,0,0.01
2state2ap2acc_parity_15026862953082550164_c,3,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,15,27,0,0,0,0,0,0.01
2state2ap2acc_parity_15026862953082550164_c,6,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,15,27,0,0,0,0,0,0.01
2state2ap2acc_parity_15026862953082550164_c,7,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,490,1213,0,0,0,0,0,0.27
2state2ap2acc_parity_15026862953082550164_c,8,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,490,1213,0,0,0,0,0,0.26
2state2ap2acc_parity_15026862953082550164_c,9,23,3,4,1,UNDECIDED,C@0,0,P,-,-,-,490,1213,0,0,0,0,0,0.26
2state2ap2acc_parity_15035276434837441332,3,9,1,4,1,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_15035276434837441332,4,9,2,4,1,UNDECIDED,C@0,0,P,-,-,-,42,57,0,0,0,0,0,0.00
2state2ap2acc_parity_15035276434837441332,5,9,2,4,1,UNDECIDED,C@0,0,P,-,-,-,42,57,0,0,0,0,0,0.00
2state2ap2acc_parity_15035276434837441332_c,3,9,1,4,1,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
