input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,source
aut_01583.hoa,LTL,daisy,0.072,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01583.hoa
aut_01588.hoa,LTL,daisy2,0.073,GF!a,4,2,4,1.0,66942b887c5f,TRUE,genaut/corpus/2state1ap1acc/aut_01588.hoa
aut_01591.hoa,LTL,buchi+daisy+deep_roundtrip+inv+strength2,1.210,GF!a,4,2,4,1.0,66942b887c5f,TRUE,genaut/corpus/2state1ap1acc/aut_01591.hoa
aut_01592.hoa,LTL,daisy2,0.073,GF!a,4,2,4,1.0,66942b887c5f,TRUE,genaut/corpus/2state1ap1acc/aut_01592.hoa
aut_01596.hoa,LTL,buchi+daisy+daisy2+deep_roundtrip+partscc+strength2,1.242,X(!a & G(!a | X!a)),7,1,11,1.6,3d7651ff18ca,TRUE,genaut/corpus/2state1ap1acc/aut_01596.hoa
aut_01600.hoa,NOT_LTL,,1.184,,,,,,,,genaut/corpus/2state1ap1acc/aut_01600.hoa
aut_01603.hoa,NOT_LTL,,1.184,,,,,,,,genaut/corpus/2state1ap1acc/aut_01603.hoa
aut_01604.hoa,LTL,daisy2,0.071,GFa,3,2,3,1.0,0cdf120f1aa3,TRUE,genaut/corpus/2state1ap1acc/aut_01604.hoa
aut_01607.hoa,LTL,acc,1.191,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01607.hoa
aut_01608.hoa,LTL,daisy2,0.070,GFa,3,2,3,1.0,0cdf120f1aa3,TRUE,genaut/corpus/2state1ap1acc/aut_01608.hoa
aut_01612.hoa,NOT_LTL,,1.171,,,,,,,,genaut/corpus/2state1ap1acc/aut_01612.hoa
aut_01635.hoa,LTL,acc,1.362,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01635.hoa
aut_01639.hoa,LTL,acc,1.221,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01639.hoa
aut_01648.hoa,NOT_LTL,,1.183,,,,,,,,genaut/corpus/2state1ap1acc/aut_01648.hoa
aut_01650.hoa,LTL,acc,1.196,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state1ap1acc/aut_01650.hoa
aut_01651.hoa,NOT_LTL,,1.178,,,,,,,,genaut/corpus/2state1ap1acc/aut_01651.hoa
