formula,class,mp,technique,dag_nodes,temporals,tree_nodes,sharing,build_s,equiv,reconstructed
aut_00388.hoa,?,?,daisy2,3,2,3,1.0,0.067,True,GFa
aut_00390.hoa,?,?,buchi,9,3,14,1.6,1.120,True,X(Fa & G(!a | X(!a R Fa)))
aut_00391.hoa,?,?,acc,1,0,1,1.0,1.136,True,1
aut_00392.hoa,?,?,buchi,31,5,72,2.3,1.132,True,X(a & ((XF!a & ((!a & X!a) R (!a | X(!a R (a | X(a & XF!a)))))) | (X(a | Xa) & (…
aut_00396.hoa,?,?,daisy2,3,2,3,1.0,0.065,True,GFa
aut_00513.hoa,?,?,daisy,1,0,1,1.0,0.065,True,a
aut_00514.hoa,?,?,daisy,2,1,2,1.0,0.066,True,Ga
aut_00515.hoa,?,?,daisy,5,1,6,1.2,0.065,True,a & XG!a
aut_00517.hoa,?,?,daisy,1,0,1,1.0,0.065,True,a
aut_00518.hoa,?,?,daisy,4,2,5,1.2,0.064,True,a & GFa
aut_00519.hoa,?,?,daisy,5,2,6,1.2,0.066,True,a & GF!a
aut_00521.hoa,?,?,daisy,1,0,1,1.0,0.065,True,a
aut_00528.hoa,?,?,-,,,,,0.589,NOT_LTL,
aut_00530.hoa,?,?,partscc,5,1,7,1.4,0.064,True,a & G(a | Xa)
aut_00531.hoa,?,?,-,,,,,0.589,NOT_LTL,
aut_00532.hoa,?,?,buchi,13,3,23,1.8,1.139,True,a & XX(XG(!a | XXFa) & (a M (!a | XXFa)))
aut_00533.hoa,?,?,daisy,1,0,1,1.0,0.067,True,a
aut_00534.hoa,?,?,buchi,24,5,50,2.1,1.138,True,a & X(Fa & (!a | XFa) & ((!a & (a | G(a | X!a))) | G((a | X(a R (!a | XFa))) & (…
aut_00535.hoa,?,?,acc,1,0,1,1.0,1.108,True,a
aut_00536.hoa,?,?,buchi,30,5,71,2.4,1.118,True,a & ((X(a | Xa) & ((!a & X!a) R ((!a | X(!a | X(!a R (a | Xa)))) & (a | X(!a | X…
aut_00540.hoa,?,?,-,,,,,0.575,NOT_LTL,
aut_00543.hoa,?,?,-,,,,,0.585,NOT_LTL,
aut_00547.hoa,?,?,-,,,,,0.584,NOT_LTL,
aut_00548.hoa,?,?,buchi,335,65,21341,63.7,1.181,True,(X(a & Xa) | (XF(!a & X(!a U (a & Xa))) & (Xa | (XF(!a & Xa) & (((a | X(!a & XFa…
aut_00551.hoa,?,?,acc,1,0,1,1.0,1.118,True,a
aut_00552.hoa,?,?,daisy,2,1,2,1.0,0.064,True,Ga
aut_00556.hoa,?,?,-,,,,,0.584,NOT_LTL,
aut_00560.hoa,?,?,partscc,9,1,14,1.6,0.066,True,a & G((a | Xa) & (!a | X!a))
aut_00562.hoa,?,?,partscc,5,1,7,1.4,0.065,True,a & G(a | Xa)
aut_00563.hoa,?,?,buchi,31,6,71,2.3,1.120,True,a & ((X(!a & XFa) & ((a & Xa) R (a | X(a R (!a | X(!a & XFa)))))) | (((a & Xa) R…
aut_00564.hoa,?,?,buchi,185,37,564705,3052.5,1.140,UNVERIFIED_SIZE,<unflattened DAG: 564705 tree nodes>
aut_00567.hoa,?,?,buchi,18,5,35,1.9,1.117,True,a & F(a & XF!a) & G((!a | X(!a R (a | XF!a))) & (a | X(a | X(a R F!a))))
aut_00568.hoa,?,?,partscc,8,2,11,1.4,0.066,True,a & G((a | Xa) & F!a)
aut_00572.hoa,?,?,buchi,14,3,29,2.1,1.115,True,a & X(!a & XFa) & ((a & Xa) R (a | X(a R (!a | X(!a & XFa)))))
aut_00575.hoa,?,?,buchi,31,6,71,2.3,1.119,True,a & ((X(!a & XFa) & ((a & Xa) R (a | X(a R (!a | X(!a & XFa)))))) | (((a & Xa) R…
aut_00580.hoa,?,?,buchi,13,3,23,1.8,1.123,True,a & XX(XG(!a | XXFa) & (a M (!a | XXFa)))
aut_00583.hoa,?,?,acc,1,0,1,1.0,1.111,True,a
aut_00584.hoa,?,?,buchi,30,5,71,2.4,1.147,True,a & ((X(a | Xa) & ((!a & X!a) R ((!a | X(!a | X(!a R (a | Xa)))) & (a | X(!a | X…
aut_00588.hoa,?,?,-,,,,,0.583,NOT_LTL,
aut_00612.hoa,?,?,buchi,13,3,23,1.8,1.118,True,a & XX(XG(!a | XXFa) & (a M (!a | XXFa)))
aut_00615.hoa,?,?,acc,1,0,1,1.0,1.112,True,a
aut_00616.hoa,?,?,buchi,30,5,71,2.4,1.119,True,a & ((X(a | Xa) & ((!a & X!a) R ((!a | X(!a | X(!a R (a | Xa)))) & (a | X(!a | X…
aut_00620.hoa,?,?,-,,,,,0.588,NOT_LTL,
aut_00628.hoa,?,?,buchi,13,3,23,1.8,1.114,True,a & XX(XG(!a | XXFa) & (a M (!a | XXFa)))
aut_00631.hoa,?,?,acc,1,0,1,1.0,1.120,True,a
aut_00632.hoa,?,?,buchi,30,5,71,2.4,1.115,True,a & ((X(a | Xa) & ((!a & X!a) R ((!a | X(!a | X(!a R (a | Xa)))) & (a | X(!a | X…
aut_00636.hoa,?,?,-,,,,,0.585,NOT_LTL,
aut_00644.hoa,?,?,-,,,,,0.590,NOT_LTL,
aut_00647.hoa,?,?,acc,1,0,1,1.0,1.114,True,a
aut_00648.hoa,?,?,daisy2,2,1,2,1.0,0.065,True,Ga
aut_00652.hoa,?,?,-,,,,,0.574,NOT_LTL,
aut_00708.hoa,?,?,buchi,185,37,564705,3052.5,1.138,UNVERIFIED_SIZE,<unflattened DAG: 564705 tree nodes>
aut_00711.hoa,?,?,buchi,18,5,35,1.9,1.126,True,a & F(a & XF!a) & G((!a | X(!a R (a | XF!a))) & (a | X(a | X(a R F!a))))
aut_00712.hoa,?,?,partscc,8,2,11,1.4,0.063,True,a & G((a | Xa) & F!a)
aut_00716.hoa,?,?,buchi,14,3,29,2.1,1.114,True,a & X(!a & XFa) & ((a & Xa) R (a | X(a R (!a | X(!a & XFa)))))
aut_00770.hoa,?,?,daisy,5,1,6,1.2,0.065,True,!a & XGa
aut_00800.hoa,?,?,partscc,9,1,15,1.7,0.063,True,!a & G((!a | X!a) & (a | Xa))
aut_01046.hoa,?,?,acc,1,0,1,1.0,1.102,True,1
aut_01090.hoa,?,?,-,,,,,0.586,NOT_LTL,
aut_01120.hoa,?,?,-,,,,,0.586,NOT_LTL,
aut_01122.hoa,?,?,-,,,,,0.591,NOT_LTL,
aut_01123.hoa,?,?,acc,1,0,1,1.0,1.108,True,1
aut_01128.hoa,?,?,-,,,,,0.582,NOT_LTL,
aut_01132.hoa,?,?,daisy2,3,2,3,1.0,0.064,True,GFa
aut_01154.hoa,?,?,buchi,504,93,18160787,36033.3,1.211,UNVERIFIED_SIZE,<unflattened DAG: 18160787 tree nodes>
aut_01155.hoa,?,?,-,,,,,0.583,NOT_LTL,
